Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,Description,HasTraverse,HasSloper,Hascrimp,Hassloper,Hastraverse,Hasarete,Hasjug,Hasundercling,Hascave,Hasroof,Haspinch,Hasmantle
White Rastafarian,White Rastafarian Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105722593/white-rastafarian,3.9,-1,Boulder,V2 R,1,20,34.02073,-116.16212,"[<div class=""fr-view"">This problem is located on a large boulder at the Southeast end of Rock Hudson. Climb a juggy crack on an overhanging arete until it dies out 15 ft. up. Lean out left, onto the overhanging face, to a large flake. Finishes with an easy mantel 25 ft. off the deck. One of JTree's finest problems.</div>, <div class=""fr-view"">Chalkbag and shoes!</div>, <div class=""fr-view""><ul><li><a href=""http://www.youtube.com/watch?v=ZfFAJlZPWqc"" rel=""nofollow noopener noreferrer"" target=""_blank"">http://www.youtube.com/watch?v=ZfFAJlZPWqc</a></li><li><a href=""https://youtu.be/scAk2NMlwmw?t=66"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://youtu.be/scAk2NMlwmw?t=66</a></li></ul></div>]",0,0,0,0,0,1,1,0,0,0,0,0
Slashface,Slash Boulder > Western Belt > Geology Tour Road Bouldering > Queen Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105722755/slashface,3.9,-1,Boulder,V3 R,1,25,33.95344,-116.08706,"[<div class=""fr-view"">Another of Joshua Tree's finest boulder problems, this ascends the center of a beautiful vertical face peppered with juggy slashes. The crux is encountered fairly low on the problem, leaving many airy jugs to be savored. The problem tops out at around 25 ft. with an easy, yet committing mantel.</div>, <div class=""fr-view"">This fairly obvious boulder is located along the approach to Jerry's Quarry. Park at turnout #5 (on the right, just before the Road Unmaintained sign), walk west towards the largest formation (Jerry's Quarry) for approximately 1/2 mile to a large boulder that sits next to a small rockpile, just before a very large wash. The problem is on the west side of the boulder.</div>, <div class=""fr-view"">Pads, Spotters</div>, <div class=""fr-view""><ul><li><a href=""http://www.youtube.com/watch?v=HUzummOLcfo"" rel=""nofollow noopener noreferrer"" target=""_blank"">http://www.youtube.com/watch?v=HUzummOLcfo</a></li><li><a href=""https://youtu.be/HOfdFoCorKU"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://youtu.be/HOfdFoCorKU</a></li></ul></div>]",0,0,0,0,0,0,1,0,0,0,0,0
Pigpen,Pigpen Boulder > Manx Boulders Circuit > Manx/Asteroid Belt Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105722992/pigpen,3.9,-1,Boulder,V4,1,10,34.0153,-116.15811,"[<div class=""fr-view"">Behind Cyclops rock is this awesome boulder problem. A sit start in a cave starts you out 10' of finger crack through the roof in the cave, to a tight-hands swing around the lip and then fingers, off fingers and tight hands lead to a funky top out that is for many the crux.</div>, <div class=""fr-view"">Mostly low to the ground but the topout is about 12' and a pad is probably desirable.</div>, <div class=""fr-view""><ul><li><a href=""http://www.youtube.com/watch?v=v8lvWQYbJTI"" rel=""nofollow noopener noreferrer"" target=""_blank"">http://www.youtube.com/watch?v=v8lvWQYbJTI</a></li><li><a href=""https://youtu.be/jT8CnsN7ik4"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://youtu.be/jT8CnsN7ik4</a></li><li><a href=""https://youtu.be/rh1mGhJtIPg"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://youtu.be/rh1mGhJtIPg</a></li><li><a href=""https://www.youtube.com/watch?v=MWoQNLll30o&amp;t=3s"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://www.youtube.com/watch?v=MWoQNLll30o&amp;t=3s</a></li><li><a href=""https://youtu.be/6r2ohfK7Eh0"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://youtu.be/6r2ohfK7Eh0</a></li><li><a href=""https://www.instagram.com/p/CKsSy0SFvA2/"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://www.instagram.com/p/CKsSy0SFvA2/</a></li><li><a href=""https://www.instagram.com/p/CJSC03BluRJ/"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://www.instagram.com/p/CJSC03BluRJ/</a></li></ul></div>]",0,0,0,0,0,0,0,0,1,1,0,0
JBMFP,JBMF Boulder > JBMF Boulders > Roadside Rocks Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105725464/jbmfp,3.9,-1,Boulder,V5,1,16,34.0152,-116.16631,"[<div class=""fr-view""><p>This classic problem takes a proud line directly up the middle of the large boulder near <a href=""https://www.mountainproject.com/route/105725461/false-up-20"">False Up 20</a> (V0-), and sits directly across the road from Double Cross.</p><p>Â Depending on how tall you are there are a few different starting holds, but thin holds are the name of the game on this problem.Â </p><p>Don't breath too hard as you might blow yourself off the crux, but as you hit that last hold with your right hand, rest assured that the final throw for the lip might look far but that hold is huge!</p></div>, <div class=""fr-view"">You will want 2 pads if you are working this by yourself. If not, 1 pad and a good spotter will do. It's probably about 15' high.</div>, <div class=""fr-view""><ul><li><a href=""http://www.youtube.com/watch?v=mNLVxDJT4to"" rel=""nofollow noopener noreferrer"" target=""_blank"">http://www.youtube.com/watch?v=mNLVxDJT4to</a></li><li><a href=""https://youtu.be/AOxlA0WJz1I"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://youtu.be/AOxlA0WJz1I</a></li><li><a href=""https://youtu.be/TtQEYcx9FPA"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://youtu.be/TtQEYcx9FPA</a></li><li><a href=""https://youtu.be/scAk2NMlwmw"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://youtu.be/scAk2NMlwmw</a></li></ul></div>]",0,0,0,0,0,0,0,0,0,0,0,0
Gunsmoke,Gunsmoke Wall > Gunsmoke Area > Barker Dam Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105722350/gunsmoke,3.7,-1,Boulder,V3,1,80,34.02858,-116.14508,"[<div class=""fr-view"">Classic.  Like Yosemite's Midnight Lightning, Hueco Tank's Ghetto Simulator or Boulder's Monkey Traverse, Gunsmoke requires little introduction. <br/> <br/> The Gunsmoke Traverse is L-shaped and is usually done from left to right.  Start as far left as possible, move right along the wall for about 50' past 2 crux sections, turn the corner (third crux), and continue another 35' along rails to a final bulge.  If your guns aren't too smoked, reverse your moves back to the start.   <br/> <br/> GUNSMOKE IS LIKELY THE SINGLE MOST CROWDED ROUTE IN THE PARK, and it's not uncommon to find a dozen or more people there at any given time.  Several other quality problems can be found in the vicinity, including the classic stemming problem <a href=""https://www.mountainproject.com/route/105722911/streetcar-named-desire"">Streetcar Named Desire</a> (V6) and <a href=""https://www.mountainproject.com/route/105724441/the-chube"">The Chube</a> (V2).  Southern exposure makes this a hot one during mid-day - best done in the late afternoon. </div>, <div class=""fr-view"">Crash pad.</div>, <div class=""fr-view""><ul><li><a href=""http://www.youtube.com/watch?v=ge6znPiyWfo"" rel=""nofollow noopener noreferrer"" target=""_blank"">http://www.youtube.com/watch?v=ge6znPiyWfo</a></li><li><a href=""https://www.youtube.com/watch?v=vN6aUlEa6Js"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://www.youtube.com/watch?v=vN6aUlEa6Js</a></li><li><a href=""https://www.instagram.com/p/CKNLtB9j4MU/"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://www.instagram.com/p/CKNLtB9j4MU/</a></li><li><a href=""https://www.youtube.com/watch?v=727vPF0jUEQ"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://www.youtube.com/watch?v=727vPF0jUEQ</a>Â </li></ul></div>]",1,0,0,0,1,0,0,0,0,0,0,0
Stem Gem,Stem Gem Boulder > HVCG West > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105722608/stem-gem,3.8,-1,Boulder,V4,1,20,34.01716,-116.16368,"[<div class=""fr-view"">Located in a small group of campsites on the Southern end of the Blob formation. Please ask permission for bouldering in occupied campsites. <br/> <br/> Stem Gem is the Quintessencial JTree boulder problem, embodying the essence of Joshua Tree climbing: Highly technical and often times perplexing movement across extremely friction dependant, featurless granite. Indeed, this problem has nary a hold on it, the only thing making it climbable is its coarse friction and the undulating nature of the stone. <br/> <br/> Getting both feet off the ground on this problem can be an event in itself, bringing ones flexability and stemming prowess to task. Start by stemming up the concave face and then traversing right across a faint/blunt arete. Most continue right and stand on the ""bump"", however it is possible to avoid the bump and friction direct (v3 friction in itself), continue up the water groove and to the top of the boulder. Jump across boulder to get off.</div>, <div class=""fr-view"">standard bouldering gear</div>]",0,0,0,0,0,1,0,0,1,0,0,0
Fry Problem,Fry Boulder > Fry Boulders > Stonehenge and Fry Boulders > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106039374/fry-problem,3.7,-1,Boulder,V2,1,15,33.98831,-116.15795,"[<div class=""fr-view"">Start with a high pinch/lieback and smooth, undercut feet, pull into the rock and use creative body english to reach some high sloping edges. Bust left to a good edge, then stem and reach for a sculpted jug and on to the juggy top.<br/><br/>Downclimb the juggy crack just right to descend.</div>, <div class=""fr-view"">Up the center of the boulder and about 5' left of <a href=""https://www.mountainproject.com/route/106039381/spud-crack"">Spud Crack</a>.</div>, <div class=""fr-view"">pad</div>, <div class=""fr-view""><ul><li><a href=""http://youtube.com/watch?v=HeVhHpTWe1I"" rel=""nofollow noopener noreferrer"" target=""_blank"">http://youtube.com/watch?v=HeVhHpTWe1I</a></li><li><a href=""https://www.youtube.com/watch?v=RW7tOUHsxyE"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://www.youtube.com/watch?v=RW7tOUHsxyE</a></li><li><a href=""https://youtu.be/i8z9MjZW-oc"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://youtu.be/i8z9MjZW-oc</a></li><li><a href=""https://m.youtube.com/watch?v=mfG-_oSAQZo"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://m.youtube.com/watch?v=mfG-_oSAQZo</a></li><li><a href=""https://www.youtube.com/watch?v=gO_L1zrpWVM"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://www.youtube.com/watch?v=gO_L1zrpWVM</a></li><li><a href=""https://www.instagram.com/p/CMcdghFjBgf/"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://www.instagram.com/p/CMcdghFjBgf/</a></li></ul></div>]",0,0,0,0,0,0,1,0,0,0,1,0
False Up 20,False Up 20 Boulder > JBMF Boulders > Roadside Rocks Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105725461/false-up-20,3.6,-1,Boulder,V0-,1,20,34.01513,-116.16605,"[<div class=""fr-view"">Around and left from the JBMFP Boulder is a massive boulder, the largest in the area, with a striking lieback flake on it's north face.<br/><br/><span style=""background-color: initial; font-size: 1rem;"">Solid moves on this the whole way, but it gets pretty high and, pads or no pads, falling is probably best avoided. Four stars out of five.</span></div>, <div class=""fr-view"">pads, spotters</div>, <div class=""fr-view""><ul><li><a href=""https://youtu.be/mH5l_TKoTsc"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://youtu.be/mH5l_TKoTsc</a></li><li><a href=""https://www.youtube.com/watch?v=YJJ2swwh_dE"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://www.youtube.com/watch?v=YJJ2swwh_dE</a></li></ul></div>]",0,0,0,0,0,0,0,0,0,0,0,0
Saturday Night Live,Saturday Night Live Boulder > Real Hidden Valley Circuit > Real Hidden Valley Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105723517/saturday-night-live,3.6,-1,Boulder,V4,1,13,34.01167,-116.16855,"[<div class=""fr-view"">This is an entertaining boulder problem 20 yards from the Real Hidden Valley Parking lot.  Park and walk west, as per Loose Lady.  After 5-6 seconds of hiking, look over your right shoulder.  You'll see a big scoop with a chalky handhold on the left.  Grab the hold, smear your feet and dyno to the lip.  Then make an easy mantel to finish the job. <br/> <br/> A rating on this one is pretty meaningless...</div>, <div class=""fr-view"">pad</div>]",0,0,0,0,0,0,0,0,0,0,0,0
The Chube,Chube Boulder > Gunsmoke Area > Barker Dam Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105724441/the-chube,3.5,-1,Boulder,V2,1,15,34.02838,-116.14524,"[<div class=""fr-view"">If Gunsmoke is too crowded, play on this for awhile.  Located about 50 yards to the left of Gunsmoke as you face it (NE I think); path leads the way. <br/> <br/> Nice right slanting finger crack ends a boulderer's throw from the top.  Have a good spotter just in case.  If you top out, they can move the pad to the back for the jump-off . . . </div>, <div class=""fr-view"">Boulder pad and a good spotter.</div>, <div class=""fr-view""><ul><li><a href=""http://www.youtube.com/watch?v=hGkxbGx8c30"" rel=""nofollow noopener noreferrer"" target=""_blank"">http://www.youtube.com/watch?v=hGkxbGx8c30</a></li><li><a href=""http://www.youtube.com/watch?v=XkE752QoNLA"" rel=""nofollow noopener noreferrer"" target=""_blank"">http://www.youtube.com/watch?v=XkE752QoNLA</a></li><li><a href=""https://www.youtube.com/watch?v=eUEa54C0-Vs"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://www.youtube.com/watch?v=eUEa54C0-Vs</a></li><li><a href=""https://youtu.be/JzUxWvn_Zwc"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://youtu.be/JzUxWvn_Zwc</a></li><li><a href=""https://www.instagram.com/p/CKsUcLxDCfC/"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://www.instagram.com/p/CKsUcLxDCfC/</a></li><li><a href=""https://youtu.be/UPTy9rI-who"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://youtu.be/UPTy9rI-who</a>Â </li></ul></div>]",0,0,0,0,0,0,0,0,0,0,0,0
